page,total_page,loc_code,string1,string2,string3,string4,string5,string6
1,16071,"Lokasi Formasi : 30102461","KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","Sekretariat Jenderal","Biro Hukum 10 Jenis Formasi : 1","UMUM 7",NULL,NULL
2,16071,"Lokasi Formasi : 30102461","KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","Sekretariat Jenderal","Biro Hukum 10 Jenis Formasi : 1","UMUM 7",NULL,NULL
3,16071,"Lokasi Formasi : 30102461","KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","Sekretariat Jenderal","Biro Hukum 10 Jenis Formasi : 4","LULUSAN TERBAIK 2",NULL,NULL
4,16071,"Lokasi Formasi : 30102461","KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","Sekretariat Jenderal","Biro Hukum 10 Jenis Formasi : 4","LULUSAN TERBAIK 2",NULL,NULL
5,16071,"Lokasi Formasi : 30102461","KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","Sekretariat Jenderal","Biro Hukum 10 Jenis Formasi : 9","PUTRA/PUTRI KALIMANTAN 1",NULL,NULL
6,16071,"Lokasi Formasi : 30102461","KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","Sekretariat Jenderal","Biro Hukum 10 Jenis Formasi : 9","PUTRA/PUTRI KALIMANTAN 1",NULL,NULL
7,16071,30100009,"1 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Jember","Fakultas Pertanian","Program Studi Sarjana (S1) Ilmu Pertanian Perkebunan","Fakultas Pertanian"
8,16071,30100009,"1 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Jember","Fakultas Pertanian","Program Studi Sarjana (S1) Ilmu Pertanian Perkebunan","Fakultas Pertanian"
9,16071,30100018,"Sains dan Teknologi","Jurusan Matematika dan Ilmu Pengetahuan Alam Fakultas Sains dan Teknologi","Prodi S1 Biologi Fakultas Sains 1 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Jambi","Fakultas dan Teknologi"
10,16071,30100018,"Sains dan Teknologi","Jurusan Matematika dan Ilmu Pengetahuan Alam Fakultas Sains dan Teknologi","Prodi S1 Biologi Fakultas Sains 1 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Jambi","Fakultas dan Teknologi"
11,16071,30100020,"3 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Mulawarman","Fakultas Ilmu Budaya","Prodi S1 Sastra Inggris Fakultas Ilmu Budaya",NULL
12,16071,30100020,"3 KEMENTERIAN PENDIDIKAN KEBUDAYAAN RISET DAN TEKNOLOGI","PERGURUAN TINGGI NEGERI","Universitas Mulawarman","Fakultas Ilmu Budaya","Prodi S1 Sastra Inggris Fakultas Ilmu Budaya",NULL
